Id,Category
0,2
1,10
2,6
3,3
4,5
5,0
6,3
7,4
8,3
9,2
10,2
11,1
12,9
13,10
14,5
15,0
16,9
17,4
18,5
19,0
20,3
21,2
22,9
23,2
24,3
25,0
26,10
27,5
28,9
29,8
30,5
31,5
32,3
33,0
34,5
35,2
36,8
37,10
38,3
39,3
40,4
41,3
42,2
43,0
44,5
45,1
46,10
47,10
48,4
49,4
50,5
51,1
52,3
53,3
54,3
55,2
56,10
57,3
58,0
59,9
60,5
61,8
62,4
63,3
64,10
65,8
66,1
67,1
68,2
69,10
70,5
71,5
72,5
73,10
74,5
75,2
76,4
77,9
78,5
79,5
80,0
81,0
82,6
83,2
84,3
85,0
86,4
87,0
88,10
89,6
90,2
91,5
92,0
93,2
94,4
95,5
96,9
97,2
98,6
99,10
100,0
101,9
102,5
103,2
104,4
105,9
106,6
107,4
108,9
109,9
110,2
111,5
112,5
113,2
114,9
115,9
116,9
117,0
118,9
119,0
120,3
121,5
122,0
123,5
124,1
125,5
126,5
127,9
128,9
129,9
130,5
131,2
132,10
133,0
134,0
135,9
136,3
137,10
138,0
139,9
140,10
141,5
142,2
143,8
144,9
145,0
146,3
147,2
148,9
149,2
150,5
151,0
152,4
153,10
154,10
155,1
156,3
157,1
158,9
159,2
160,5
161,5
162,5
163,5
164,4
165,5
166,2
167,0
168,3
169,10
170,10
171,9
172,0
173,5
174,9
175,0
176,1
177,10
178,0
179,10
180,3
181,5
182,5
183,5
184,10
185,9
186,5
187,2
188,2
189,4
190,1
191,9
192,3
193,3
194,4
195,5
196,8
197,0
198,3
199,3
200,9
201,2
202,5
203,9
204,2
205,4
206,3
207,9
208,5
209,9
210,0
211,8
212,8
213,2
214,5
215,5
216,10
217,10
218,0
219,2
220,4
221,2
222,5
223,10
224,5
225,5
226,0
227,2
228,10
229,2
230,0
231,2
232,9
233,10
234,3
235,2
236,4
237,10
238,0
239,0
240,0
241,3
242,8
243,4
244,0
245,9
246,0
247,9
248,3
249,5
250,8
251,3
252,9
253,3
254,5
255,4
256,2
257,3
258,3
259,0
260,9
261,10
262,10
263,10
264,2
265,9
266,1
267,3
268,0
269,9
270,0
271,3
272,9
273,5
274,5
275,10
276,9
277,5
278,2
279,0
280,9
281,9
282,2
283,0
284,0
285,0
286,2
287,10
288,9
289,0
290,9
291,3
292,1
293,0
294,2
295,3
296,9
297,0
298,7
299,5
300,2
301,9
302,4
303,1
304,9
305,10
306,5
307,2
308,9
309,3
310,0
311,0
312,9
313,4
314,8
315,9
316,1
317,0
318,5
319,1
320,9
321,2
322,2
323,0
324,4
325,3
326,5
327,6
328,10
329,2
330,5
331,0
332,4
333,5
334,3
335,2
336,3
337,0
338,5
339,10
340,9
341,6
342,5
343,5
344,3
345,4
346,4
347,5
348,4
349,9
350,4
351,4
352,4
353,0
354,0
355,3
356,3
357,10
358,2
359,4
360,0
361,5
362,10
363,2
364,9
365,5
366,5
367,4
368,9
369,4
370,5
371,4
372,2
373,9
374,3
375,0
376,9
377,9
378,2
379,5
380,10
381,3
382,0
383,8
384,4
385,0
386,4
387,9
388,10
389,3
390,0
391,3
392,10
393,0
394,3
395,2
396,4
397,8
398,5
399,2
400,4
401,2
402,3
403,9
404,0
405,5
406,3
407,8
408,5
409,9
410,5
411,0
412,4
413,1
414,3
415,0
416,0
417,4
418,3
419,2
420,5
421,4
422,5
423,2
424,9
425,2
426,10
427,5
428,9
429,3
430,5
431,2
432,4
433,5
434,9
435,2
436,2
437,9
438,0
439,5
440,10
441,2
442,3
443,10
444,5
445,9
446,9
447,9
448,0
449,2
450,4
451,9
452,0
453,2
454,4
455,6
456,5
457,0
458,2
459,10
460,10
461,9
462,10
463,0
464,2
465,8
466,6
467,9
468,0
469,0
470,5
471,3
472,8
473,2
474,9
475,9
476,0
477,5
478,3
479,9
480,5
481,4
482,3
483,0
484,3
485,0
486,3
487,5
488,5
489,9
490,2
491,4
492,1
493,2
494,2
495,2
496,0
497,2
498,2
499,10
500,10
501,3
502,5
503,1
504,0
