id,value
id_0,5.394817598679263
id_1,17.472183576222832
id_2,24.435870691692283
id_3,8.035038899806818
id_4,27.42690312162321
id_5,22.1365327163076
id_6,23.58905502407435
id_7,30.792331168752774
id_8,17.013858415165767
id_9,59.02682870686196
id_10,13.007636925822723
id_11,10.218506703376846
id_12,62.132784335635236
id_13,52.98839190430514
id_14,22.345051425048624
id_15,11.830304036767687
id_16,31.97559534737038
id_17,67.54085849949352
id_18,-0.8990789475938917
id_19,16.893972234630077
id_20,42.19180967784898
id_21,72.01686363210466
id_22,9.456050784114217
id_23,17.89864036451849
id_24,15.008836949835409
id_25,38.001026582110974
id_26,14.294686339307788
id_27,72.08288557894991
id_28,7.519589808593557
id_29,55.17762498406538
id_30,23.609760523870847
id_31,8.557581205811694
id_32,2.400178484606738
id_33,19.644249066239382
id_34,29.103479617974156
id_35,37.03176761011384
id_36,43.10413316596273
id_37,29.994020766916336
id_38,43.22334140551007
id_39,35.344662048608306
id_40,7.231302765642527
id_41,40.72440585515382
id_42,30.928113848450426
id_43,50.481188963619125
id_44,16.955100080950935
id_45,34.90377214824806
id_46,24.70317587443943
id_47,10.276790234791875
id_48,25.61388358830334
id_49,32.276882851374864
id_50,20.776020987055063
id_51,8.59201546148304
id_52,20.409290965595414
id_53,53.35660094870285
id_54,15.961929742946337
id_55,36.029489490376214
id_56,32.577661393057575
id_57,22.410660171339128
id_58,57.8031191672376
id_59,21.848714004001433
id_60,15.040135815098601
id_61,41.6060540152985
id_62,12.521571595663403
id_63,48.426877701759544
id_64,14.795575146970647
id_65,15.301491993559269
id_66,13.843088210857967
id_67,-0.34115322271331894
id_68,43.68018239303787
id_69,30.49571525852781
id_70,20.247351470654678
id_71,40.37483099413088
id_72,60.35868121345064
id_73,5.132841469973094
id_74,16.755913372157217
id_75,4.77968612216669
id_76,40.21148311287305
id_77,14.393068737369873
id_78,21.995107518081472
id_79,22.117429191117388
id_80,24.750746393552053
id_81,37.286813870574086
id_82,22.246000819402774
id_83,91.47230262236934
id_84,36.66376364483848
id_85,26.86437114675766
id_86,22.833633410783055
id_87,31.931643068462183
id_88,24.18044099417998
id_89,20.68288363411485
id_90,29.45628945618122
id_91,41.09295633187689
id_92,4.188818577150428
id_93,38.07071783860401
id_94,45.93999131606432
id_95,16.102714199955983
id_96,32.959474188659456
id_97,12.332275305630937
id_98,24.32938406756811
id_99,4.0219116261363235
id_100,18.147754511877952
id_101,27.573196449385065
id_102,13.13689908707951
id_103,15.641325383174898
id_104,23.438231171502004
id_105,39.68937950553182
id_106,30.778525073787126
id_107,6.7040213401293745
id_108,7.37115958870317
id_109,78.57427033006442
id_110,46.979380238290744
id_111,15.994736542841428
id_112,28.072882776324683
id_113,15.448816449406568
id_114,14.229940285498083
id_115,25.117294070064236
id_116,25.52561862741226
id_117,10.244114600519747
id_118,17.800075241751156
id_119,19.46965253809382
id_120,80.74493208057558
id_121,25.80306767191578
id_122,36.62486616926595
id_123,25.03399034535972
id_124,8.124437952383195
id_125,40.01712846917542
id_126,10.168016944595205
id_127,20.69623945816573
id_128,28.48646036970044
id_129,62.86890172167199
id_130,21.92190116254108
id_131,22.68253296346083
id_132,59.389201099536635
id_133,14.959486582079194
id_134,14.625812770325165
id_135,2.472991525036783
id_136,11.91549468513136
id_137,58.86261124177886
id_138,19.55175362070483
id_139,5.890531331351529
id_140,28.31217942562303
id_141,25.61581911405777
id_142,44.59099802838278
id_143,30.730907375979704
id_144,18.459415695409888
id_145,26.378976301878037
id_146,11.159060516296446
id_147,51.77881317190485
id_148,23.170562193298533
